threshold,net_benefit,treat_all,ci_lower,ci_upper
0.005,0.6936554429903529,0.6936554429903529,0.6291618520409534,0.7635234998522021
0.01,0.6921082482579809,0.6921082482579809,0.6272889321017663,0.7623291740938799
0.015,0.6905453459648742,0.6905453459648742,0.6253969977469529,0.7611227232009554
0.02,0.6889664956891848,0.6889664956891848,0.6234857579395394,0.7599039615846338
0.025,0.6873714520773344,0.6873714520773344,0.6215549156725627,0.7586726998491704
0.030000000000000002,0.6857599647169084,0.6857599647169084,0.6196041678152048,0.7574287446937538
0.034999999999999996,0.684131778005597,0.684131778005597,0.6176332049541436,0.756171898811338
0.04,0.6824866310160428,0.6824866310160428,0.6156417112299465,0.7549019607843137
0.045,0.6810762382058964,0.6808242573564409,0.6138750454965421,0.7538707058263572
0.049999999999999996,0.6794258373205742,0.679144385026738,0.6118702504925415,0.7526034337179848
0.055,0.6780692074809722,0.6774467362702656,0.6098520216167275,0.7516417678182384
0.06,0.6764136989418591,0.6757310274206394,0.6078052110592786,0.7503783138013425
0.065,0.6747404844290658,0.6739969687437445,0.6057365094798249,0.7491013469072607
0.07,0.6734517854062446,0.6722442642746248,0.6036455637973664,0.7486056005980104
0.07500000000000001,0.6717733776557306,0.6704726116490822,0.6015320132967191,0.7473623355976297
0.08,0.670076726342711,0.6686817019297838,0.5993954894210648,0.7461055568472448
0.085,0.6683615323923906,0.6668712194266678,0.5972356155576984,0.7448350428099705
0.09000000000000001,0.6612798965740142,0.6650408415114297,0.590233296115649,0.7329229593935476
0.095,0.6595266936508405,0.6631902384258576,0.5880580258220817,0.7316202322214672
0.1,0.6583481877599524,0.661319073083779,0.5864527629233511,0.7308972073677955
0.10500000000000001,0.6565888925402563,0.6594270008663699,0.584261942461088,0.7295984823589161
0.11,0.6548098299585411,0.657513669410563,0.5820465060385748,0.7282851649342066
0.115,0.654400435058461,0.6555787183902837,0.5811784343937882,0.7283294057222272
0.12000000000000001,0.6526494895478853,0.6536217792902285,0.5789803111327175,0.7270539620807
0.125,0.6508785332314744,0.6516424751718869,0.5767570664629488,0.7257639419404126
0.13,0.6498862868031224,0.6496404204314955,0.5755670293195648,0.7260572253979962
0.135,0.6489443912089271,0.6476152205495966,0.5747372569626904,0.7248083521374918
0.14,0.6471831861708742,0.6455664718318617,0.5725438378311155,0.7235449570948886
0.14500000000000002,0.6454013822434875,0.64349376114082,0.5702356381148951,0.7222691309378616
