recall,precision
1.0,0.6951871657754011
1.0,0.6989247311827957
1.0,0.7027027027027027
1.0,0.7065217391304348
0.9923076923076923,0.7049180327868853
0.9923076923076923,0.7087912087912088
0.9923076923076923,0.712707182320442
0.9923076923076923,0.7166666666666667
0.9923076923076923,0.7206703910614525
0.9923076923076923,0.7247191011235955
0.9923076923076923,0.7288135593220338
0.9923076923076923,0.7329545454545454
0.9846153846153847,0.7314285714285714
0.9769230769230769,0.7298850574712644
0.9769230769230769,0.7341040462427746
0.9692307692307692,0.7325581395348837
0.9692307692307692,0.7368421052631579
0.9692307692307692,0.7411764705882353
0.9692307692307692,0.7455621301775148
0.9692307692307692,0.75
0.9615384615384616,0.7485029940119761
0.9615384615384616,0.7530120481927711
0.9615384615384616,0.7575757575757576
0.9615384615384616,0.7621951219512195
0.9538461538461539,0.7607361963190185
0.9538461538461539,0.7654320987654321
0.9538461538461539,0.7701863354037267
0.9461538461538461,0.76875
0.9384615384615385,0.7672955974842768
0.9307692307692308,0.7658227848101266
0.9230769230769231,0.7643312101910829
0.9230769230769231,0.7692307692307693
0.9230769230769231,0.7741935483870968
0.9153846153846154,0.7727272727272727
0.9153846153846154,0.7777777777777778
0.9076923076923077,0.7763157894736842
0.9076923076923077,0.7814569536423841
0.9076923076923077,0.7866666666666666
0.9,0.785234899328859
0.8923076923076924,0.7837837837837838
0.8923076923076924,0.7891156462585034
0.8923076923076924,0.7945205479452054
0.8846153846153846,0.7931034482758621
0.8846153846153846,0.7986111111111112
0.8769230769230769,0.7972027972027972
0.8769230769230769,0.8028169014084507
0.8769230769230769,0.8085106382978723
0.8769230769230769,0.8142857142857143
0.8692307692307693,0.8129496402877698
0.8692307692307693,0.8188405797101449
0.8692307692307693,0.8248175182481752
0.8615384615384616,0.8235294117647058
0.8538461538461538,0.8222222222222222
0.8461538461538461,0.8208955223880597
0.8384615384615385,0.8195488721804511
0.8384615384615385,0.8257575757575758
0.8384615384615385,0.8320610687022901
0.8307692307692308,0.8307692307692308
0.823076923076923,0.8294573643410853
0.8153846153846154,0.828125
0.8076923076923077,0.8267716535433071
0.8,0.8253968253968254
0.7923076923076923,0.824
0.7846153846153846,0.8225806451612904
0.7769230769230769,0.8211382113821138
0.7692307692307693,0.819672131147541
0.7615384615384615,0.8181818181818182
0.7538461538461538,0.8166666666666667
0.7461538461538462,0.8151260504201681
0.7384615384615385,0.8135593220338984
0.7384615384615385,0.8205128205128205
0.7384615384615385,0.8275862068965517
0.7307692307692307,0.8260869565217391
0.7307692307692307,0.8333333333333334
0.7230769230769231,0.831858407079646
