mean_predicted_value,fraction_of_positives,ci_lower,ci_upper
0.06961304479684725,0.2,0.0,0.4787635278369601
0.13599566954129247,0.0,0.0,0.16252124472806115
0.2491012278820013,0.35714285714285715,0.1139038614032747,0.5958420198496996
0.33275284624709356,0.5,0.14459825938754423,0.8333592181869567
0.4422235390003339,0.3888888888888889,0.18349986857395384,0.6237354639190624
0.5516767537891987,0.8888888888888888,0.7205002869726335,0.9937506004213235
0.65995528010729,0.7058823529411765,0.5038200505711197,0.9192353989692226
0.7566777032823192,0.7692307692307693,0.6058912477308566,0.9108574026246732
0.8487739112112317,0.8235294117647058,0.6940226574683261,0.9396266599349203
0.9481797488223632,0.8809523809523809,0.780812882588651,0.9651302217748011
