fpr,tpr
0.0,0.0
0.0,0.007692307692307693
0.0,0.09230769230769231
0.017543859649122806,0.09230769230769231
0.017543859649122806,0.11538461538461539
0.03508771929824561,0.11538461538461539
0.03508771929824561,0.14615384615384616
0.05263157894736842,0.14615384615384616
0.05263157894736842,0.17692307692307693
0.07017543859649122,0.17692307692307693
0.07017543859649122,0.2230769230769231
0.08771929824561403,0.2230769230769231
0.08771929824561403,0.2846153846153846
0.10526315789473684,0.2846153846153846
0.10526315789473684,0.36923076923076925
0.12280701754385964,0.36923076923076925
0.12280701754385964,0.4
0.14035087719298245,0.4
0.14035087719298245,0.4461538461538462
0.15789473684210525,0.4461538461538462
0.15789473684210525,0.46923076923076923
0.17543859649122806,0.46923076923076923
0.17543859649122806,0.5
0.19298245614035087,0.5
0.19298245614035087,0.5076923076923077
0.21052631578947367,0.5076923076923077
0.21052631578947367,0.5153846153846153
0.22807017543859648,0.5153846153846153
0.22807017543859648,0.5384615384615384
0.24561403508771928,0.5384615384615384
0.24561403508771928,0.5846153846153846
0.2631578947368421,0.5846153846153846
0.2631578947368421,0.5923076923076923
0.2807017543859649,0.5923076923076923
0.2807017543859649,0.6076923076923076
0.2982456140350877,0.6076923076923076
0.2982456140350877,0.7076923076923077
0.3157894736842105,0.7076923076923077
0.3157894736842105,0.7153846153846154
0.3333333333333333,0.7153846153846154
0.3333333333333333,0.7307692307692307
0.3508771929824561,0.7307692307692307
0.3508771929824561,0.7384615384615385
0.38596491228070173,0.7384615384615385
0.38596491228070173,0.8384615384615385
0.42105263157894735,0.8384615384615385
0.42105263157894735,0.8692307692307693
0.45614035087719296,0.8692307692307693
0.45614035087719296,0.8769230769230769
0.5087719298245614,0.8769230769230769
0.5087719298245614,0.8846153846153846
0.5263157894736842,0.8846153846153846
0.5263157894736842,0.8923076923076924
0.5614035087719298,0.8923076923076924
0.5614035087719298,0.9076923076923077
0.5964912280701754,0.9076923076923077
0.5964912280701754,0.9153846153846154
0.6140350877192983,0.9153846153846154
0.6140350877192983,0.9230769230769231
0.6491228070175439,0.9230769230769231
0.6491228070175439,0.9538461538461539
0.6842105263157895,0.9538461538461539
0.6842105263157895,0.9615384615384616
0.7368421052631579,0.9615384615384616
0.7368421052631579,0.9692307692307692
0.8070175438596491,0.9692307692307692
0.8070175438596491,0.9769230769230769
0.8245614035087719,0.9769230769230769
0.8245614035087719,0.9923076923076923
0.9473684210526315,0.9923076923076923
0.9473684210526315,1.0
1.0,1.0
