,min,max
AGE,8.049189906848031,100.95081009315197
CAS,0.0,57.83328098556403
DM_DUR,0.0,37.824372426212065
FEET_MEAN_ESC,0.0,106.47541424734791
FEET_PCT_ASYM,0.0,49.4147174332948
HAND_MEAN_ESC,0.0,105.87929116740384
HAND_PCT_ASYM,0.0,63.533896143003346
HBA1C,1.3386929103878407,20.26130708961216
MNSI,0.0,14.643729338043936
NS,0.0,114.00753265715714
