split,fold,threshold,best_params,accuracy,precision,sensitivity,specificity,f1,f1.25,f1.5,f1.75,f2,youden,roc-auc,auprc
0,0,0.498627441185243,"{'depth': 9, 'learning_rate': 0.0156443826094775, 'l2_leaf_reg': 8.289695149268887, 'scale_pos_weight': 0.7836808876881218, 'loss_function': 'Logloss', 'eval_metric': 'AUC', 'iterations': 500, 'early_stopping_rounds': 50, 'verbose': 0}",0.7021276595744681,0.8275862068965517,0.7272727272727273,0.6428571428571429,0.7741935483870968,0.7633824670287044,0.7554479418886199,0.7496395963479097,0.7453416149068323,0.3701298701298703,0.7813852813852814,0.9007947967575385
1,1,0.5,"{'depth': 4, 'learning_rate': 0.01674819047640248, 'l2_leaf_reg': 2.845167255597711, 'scale_pos_weight': 0.8980241963276954, 'loss_function': 'Logloss', 'eval_metric': 'AUC', 'iterations': 500, 'early_stopping_rounds': 50, 'verbose': 0}",0.7659574468085106,0.775,0.9393939393939394,0.35714285714285715,0.8493150684931506,0.8675767918088737,0.8818380743982495,0.8927780239255649,0.9011627906976745,0.29653679653679665,0.7575757575757576,0.8915814014309593
2,2,0.48312518494351087,"{'depth': 10, 'learning_rate': 0.019997567678744884, 'l2_leaf_reg': 3.8598613069430066, 'scale_pos_weight': 0.9541634405869011, 'loss_function': 'Logloss', 'eval_metric': 'AUC', 'iterations': 500, 'early_stopping_rounds': 50, 'verbose': 0}",0.8085106382978723,0.8285714285714286,0.90625,0.6,0.8656716417910447,0.8742647058823529,0.8808411214953271,0.8858082706766918,0.8895705521472392,0.5062500000000001,0.78125,0.8372336125095594
3,3,0.49228403870535015,"{'depth': 10, 'learning_rate': 0.0034677602965971473, 'l2_leaf_reg': 3.3700368903383593, 'scale_pos_weight': 0.6331043049638593, 'loss_function': 'Logloss', 'eval_metric': 'AUC', 'iterations': 500, 'early_stopping_rounds': 50, 'verbose': 0}",0.8260869565217391,0.8529411764705882,0.90625,0.6428571428571429,0.8787878787878788,0.8846726190476191,0.8891509433962265,0.8925189393939394,0.8950617283950617,0.5491071428571428,0.8772321428571428,0.9407740364339389
